CTE(0.05,0.001,0.5)	Steer_value(0.05,0.001,0.5)	CTE(0.05,0.0001,0.5)	Steer_value(0.05,0.0001,0.5)	CTE(0.05,0.001,1)	Steer_value(0.05,0.001,1)	CTE(0.05,0.001, 0.7)	Steer_value(0.05,0.001, 0.7)	CTE(0.05,0.0001, 1)	Steer_value(0.05,0.0001, 1)	CTE(0.1,0.0001, 1)	Steer_value(0.1,0.0001, 1)
-0.0537	-0.0670278	0.4357	-0.0671872	0.187	-0.133002	-0.0429	-0.0680544	0.7325	-0.0869211	0.3088	-0.12274
0.0312	-0.078354	0.5225	-0.0799794	0.2396	-0.0992716	0.0533	-0.103928	0.7393	-0.054535	0.3879	-0.124688
0.0948	-0.0709788	0.5873	-0.0722782	0.2685	-0.0772851	0.1414	-0.102804	0.7261	-0.0339476	0.4508	-0.114823
0.1475	-0.0683113	0.6406	-0.0692572	0.2744	-0.0548545	0.2098	-0.0926439	0.69	-0.00931163	0.492	-0.0972927
0.1947	-0.068116	0.6882	-0.0688561	0.261	-0.0351455	0.2467	-0.0726856	0.6388	0.00828449	0.5116	-0.0777038
0.227	-0.062508	0.7173	-0.0611328	0.2243	-0.0102348	0.2664	-0.061897	0.5905	0.00774044	0.5042	-0.0500142
0.234	-0.050442	0.7261	-0.0514954	0.1812	-0.001861	0.2639	-0.0464959	0.533	0.0197621	0.4706	-0.0205013
0.2294	-0.0446414	0.7241	-0.0460678	0.1219	0.0171821	0.2414	-0.0316123	0.4796	0.0182842	0.4165	0.00536705
0.2088	-0.0358202	0.7062	-0.0372934	0.0605	0.0222916	0.2095	-0.0236468	0.4413	0.00505505	0.3621	0.0110708
0.1813	-0.0311765	0.6804	-0.0321215	0.0127	0.0110689	0.1687	-0.0155455	0.4051	0.00472454	0.2937	0.0318815
0.146	-0.0256575	0.6464	-0.0263861	-0.0365	0.0149654	0.1123	-0.0019178	0.3824	-0.0076787	0.2386	0.0240676
0.0957	-0.0157382	0.5968	-0.0161658	-0.0702	0.0012206	0.0615	-0.0033593	0.3634	-0.010465	0.1808	0.0325295
0.0487	-0.0150869	0.54	-0.00977979	-0.101	-3.84E-05	0.0005	0.0068302	0.3535	-0.0191054	0.1422	0.0171753
-0.0009	-0.011306	0.4895	-0.0104537	-0.1226	-0.0080358	-0.0487	0.0010789	0.4065	-0.084696	0.1095	0.0145344
-0.0622	-0.0023288	0.4278	-0.00181152	-0.1332	-0.0183726	-0.0945	0.0010834	0.547	-0.179276	0.0933	-0.00035497
-0.1134	-0.0047054	0.3767	-0.00459419	-0.0588	-0.107034	-0.1362	0.0004346	0.7092	-0.209157	0.0865	-0.00908362
0.1752	-0.189211	0.3671	-0.0249009	0.0842	-0.182868	-0.1792	0.0036738	0.8329	-0.176925	0.1488	-0.0844285
-0.0932	0.102803	0.4366	-0.0679696	0.2189	-0.181522	-0.1347	-0.0596665	0.8925	-0.115894	0.2553	-0.139304
-0.0068	-0.0789106	0.5575	-0.0997703	0.3277	-0.16139	-0.0133	-0.119553	0.9116	-0.0764404	0.4037	-0.196084
0.0517	-0.0679373	0.6511	-0.0908654	0.4115	-0.140991	0.1302	-0.142328	0.897	-0.0421001	0.5319	-0.188758
0.1367	-0.085574	0.7304	-0.0877535	0.4411	-0.0887122	0.2514	-0.13303	0.8461	-0.00333967	0.6401	-0.179642
0.1949	-0.0752789	0.8034	-0.0883338	0.4295	-0.0473617	0.3255	-0.10409	0.7839	0.0109919	0.6861	-0.12211
0.2394	-0.0708933	0.8509	-0.0780439	0.3868	-0.0145135	0.3718	-0.0873171	0.7152	0.0208554	0.6862	-0.0762888
0.2728	-0.0672861	0.8714	-0.065656	0.31	0.0231165	0.3929	-0.071125	0.701	-0.0330047	0.6343	-0.0191623
0.2844	-0.0572505	0.8684	-0.0538429	0.2325	0.027459	0.3804	-0.0473604	0.7153	-0.0622912	0.5611	0.00940163
0.2814	-0.0500819	0.8486	-0.0445377	0.2306	-0.0482766	0.3479	-0.0320833	0.7322	-0.0658094	0.4727	0.0333944
0.2774	-0.0496593	0.8855	-0.0748213	0.2403	-0.0606019	0.3162	-0.0313745	0.7387	-0.0558083	0.4068	0.0174437
0.3339	-0.0830682	0.9188	-0.0747782	0.2503	-0.0616522	0.3352	-0.0681497	0.7355	-0.0460219	0.3972	-0.037936
0.3739	-0.0771921	0.9398	-0.0697721	0.2501	-0.0516923	0.3521	-0.0678768	0.718	-0.0309186	0.3925	-0.0424053
0.3999	-0.071892	0.9399	-0.0594211	0.2431	-0.0447854	0.3563	-0.0595531	0.6932	-0.022448	0.3897	-0.0440643
0.4097	-0.0646917	0.9196	-0.0482981	0.2215	-0.0293269	0.3447	-0.0482578	0.6539	-0.00604836	0.3814	-0.0377724
0.4006	-0.0551873	0.8871	-0.0406618	0.1943	-0.0225612	0.3201	-0.0382479	0.6216	-0.0114955	0.3689	-0.0323593
0.3701	-0.0433324	0.8324	-0.02691	0.1609	-0.0148521	0.2756	-0.0223685	0.7186	-0.145717	0.3469	-0.020694
0.3301	-0.0369125	0.7757	-0.0231526	0.1226	-0.0081597	0.2283	-0.0182718	0.8765	-0.2146	0.3234	-0.0168763
0.2676	-0.0228051	0.7375	-0.0305664	0.1959	-0.123621	0.1632	-0.00272	0.988	-0.173874	0.2921	-0.00597553
0.2644	-0.0525595	0.807	-0.0879721	0.3517	-0.214262	-0.1651	0.1981	1.0608	-0.13892	0.3646	-0.117062
0.3342	-0.0928837	0.9052	-0.107323	0.4862	-0.200174	0.2309	-0.328941	1.0931	-0.100144	0.5052	-0.199273
0.4305	-0.111379	1.0081	-0.114918	0.558	-0.141622	0.3792	-0.163345	1.0889	-0.0635431	0.6576	-0.226378
0.5115	-0.108291	1.073	-0.0992707	0.5837	-0.0973902	0.5338	-0.176019	1.043	-0.0196524	0.7477	-0.173163
0.5815	-0.106872	1.1205	-0.0930577	0.5545	-0.0415847	0.6131	-0.127887	0.9785	0.00207474	0.7947	-0.134843
0.6142	-0.0904714	1.1341	-0.0769012	0.4933	-0.007018	0.6593	-0.107686	0.8833	0.0374464	0.7836	-0.0757109
0.6224	-0.0792538	1.1247	-0.0650436	0.3921	0.0376499	0.6587	-0.0755549	0.7975	0.0322567	0.7327	-0.0308941
0.6017	-0.0643705	1.0939	-0.052913	0.2945	0.0386354	0.6162	-0.0447161	0.731	0.0162086	0.65	0.00911086
0.5606	-0.0526761	1.0443	-0.0411374	0.1972	0.0430032	0.5513	-0.0263424	0.6399	0.0452996	0.5243	0.0646284
0.5006	-0.0407267	0.9788	-0.0300103	0.1063	0.0410419	0.4668	-0.0088642	0.5724	0.0250173	0.4105	0.0640674
0.4078	-0.0200945	0.9004	-0.0197304	0.0255	0.0349564	0.3691	0.0048917	0.5169	0.0157406	0.3028	0.0687071
0.3358	-0.0272303	0.7936	-0.00026972	-0.0427	0.0258091	0.2637	0.015288	0.4665	0.013114	0.2078	0.0654863
0.2383	-0.0098436	0.6974	-0.00082946	-0.0972	0.0149313	0.1557	0.0223523	0.4418	-0.0113952	0.1297	0.0563833
0.113	0.0102084	0.5989	0.00518565	-0.1382	0.0036195	0.0497	0.0262026	0.468	-0.063652	0.0623	0.0524171
-0.0168	0.0189652	0.4816	0.0204025	-0.1666	-0.0073939	-0.07	0.0418476	0.6141	-0.190918	0.0289	0.0217542
-0.1233	0.0127635	0.3913	0.0113784	-0.1276	-0.0766163	-0.1605	0.0260931	0.7588	-0.196829	0.0164	0.00210259
-0.204	0.0041025	0.3807	-0.0279797	0.0522	-0.226458	-0.2388	0.0217069	0.8764	-0.175697	0.1719	-0.181465
-0.2328	-0.0201747	0.4605	-0.0772158	0.1986	-0.200577	-0.2224	-0.0451807	0.9656	-0.151853	0.2392	-0.100019
-0.1463	-0.0820034	0.544	-0.0832952	0.3167	-0.178499	-0.116	-0.113385	0.9911	-0.0895276	0.4013	-0.211069
-0.0706	-0.0803178	0.622	-0.0845074	0.3922	-0.140066	-0.0047	-0.122375	0.9856	-0.0583512	0.5408	-0.202473
-0.0002	-0.0811876	0.6883	-0.0820412	0.4258	-0.100272	0.0972	-0.120987	0.9761	-0.0539738	0.6472	-0.180077
0.0683	-0.0837309	0.7484	-0.082021	0.4098	-0.0502816	0.1938	-0.122301	1.0768	-0.169316	0.7084	-0.141068
0.1025	-0.0683934	0.7801	-0.069484	0.4546	-0.113776	0.2561	-0.101662	1.2216	-0.220779	0.7233	-0.0963306
0.1306	-0.066879	0.9208	-0.131111	0.5898	-0.211526	0.2784	-0.0750555	1.3057	-0.164414	0.716	-0.0734722
0.2181	-0.101172	1.0852	-0.15129	0.6974	-0.190003	0.398	-0.149544	1.3427	-0.119298	0.8378	-0.214836
0.4631	-0.192635	1.2683	-0.169921	0.7633	-0.152362	0.5802	-0.203054	1.3337	-0.0729818	0.9491	-0.215561
0.6468	-0.171817	1.4187	-0.161233	0.7798	-0.104567	0.7595	-0.210748	1.2862	-0.0322354	1.0188	-0.181033
0.7968	-0.163264	1.5306	-0.147731	0.7507	-0.0582622	0.8608	-0.162074	1.2092	0.00099365	1.0312	-0.125076
0.9048	-0.148569	1.601	-0.130662	0.6831	-0.0170653	0.9111	-0.1298	1.1127	0.0252074	0.9847	-0.0616244
0.9704	-0.131619	1.6303	-0.11174	0.587	0.0156527	0.9142	-0.0978293	1.0056	0.0410618	0.8954	-0.00998392
0.9938	-0.112683	1.6203	-0.0917516	0.4744	0.0373083	0.876	-0.0678853	1.0144	-0.0753796	0.7743	0.0338486
0.9696	-0.0886424	1.5745	-0.071719	0.3648	0.0394235	0.803	-0.0406783	1.1708	-0.230917	0.6347	0.0662452
0.9093	-0.0684867	1.5008	-0.0542341	0.4476	-0.157564	0.7028	-0.0173311	1.3246	-0.236139	0.4909	0.0847761
0.8683	-0.076955	1.6053	-0.14872	0.5958	-0.23097	0.6317	-0.0347778	1.4474	-0.211424	0.5052	-0.0748044
0.9892	-0.164939	1.7362	-0.168638	0.7318	-0.226302	0.7382	-0.165161	1.5207	-0.165741	0.6412	-0.210169
1.1068	-0.170276	1.839	-0.159912	0.8419	-0.206749	0.8536	-0.178015	1.5416	-0.11454	0.7809	-0.227917
1.1889	-0.15782	1.9033	-0.144067	0.875	-0.132279	0.9444	-0.166279	1.5141	-0.0649165	0.8947	-0.213486
1.2291	-0.140109	1.9263	-0.12476	0.8688	-0.0935374	1.0022	-0.147071	1.5387	-0.1184	0.9641	-0.176123
1.2269	-0.120026	1.9084	-0.103606	0.8402	-0.0705476	1.0049	-0.109641	1.6177	-0.176912	0.9834	-0.128051
1.1842	-0.0988251	1.8922	-0.103835	0.8972	-0.159895	0.9667	-0.0800678	1.6662	-0.149004	0.9609	-0.0840969
1.1537	-0.104554	1.9514	-0.14469	0.9579	-0.167588	0.9696	-0.109952	1.6742	-0.109071	1.0079	-0.158398
1.2151	-0.154789	2.0038	-0.144111	0.9833	-0.134541	1.0435	-0.164391	1.6496	-0.0754062	1.0797	-0.190486
1.2517	-0.145471	2.018	-0.125922	0.9658	-0.0917318	1.0892	-0.148025	1.5857	-0.0330698	1.1137	-0.156197
1.2507	-0.127871	1.9869	-0.101916	0.9071	-0.0485039	1.0979	-0.123658	1.4916	0.00168609	1.1009	-0.108227
1.2105	-0.107472	1.9184	-0.079983	0.8139	-0.0101578	1.0661	-0.0947841	1.3763	0.0285135	1.0411	-0.0553513
1.1327	-0.0859145	1.8159	-0.0580396	0.6955	0.0202667	0.9966	-0.0659157	1.25	0.0457035	0.9414	-0.00557542
1.0206	-0.0641801	1.6843	-0.037078	0.5344	0.0704873	0.8942	-0.0386599	1.1222	0.0534812	0.8124	0.0365433
0.8784	-0.0428985	1.5292	-0.0177259	0.3685	0.0832138	0.7652	-0.0143551	1.0022	0.051581	0.6665	0.0679667
0.7115	-0.022915	1.3566	-0.00048161	0.2647	0.0260391	0.6168	0.0060281	1.077	-0.147067	0.5165	0.087015
0.5254	-0.0045354	1.1774	0.0116607	0.3039	-0.119225	0.4562	0.0221419	1.3557	-0.365037	0.374	0.0937276
0.327	0.0112076	1.1631	-0.0701907	0.6323	-0.425477	0.2967	0.0290502	1.6289	-0.37336	0.3037	0.0285273
0.314	-0.0811564	1.3454	-0.17774	0.8436	-0.319786	0.3752	-0.14185	1.8505	-0.333025	0.5551	-0.318368
0.4813	-0.180153	1.5257	-0.185908	1.1135	-0.392994	0.5893	-0.248064	1.9909	-0.259044	0.8492	-0.390563
0.6409	-0.184924	1.7071	-0.195698	1.1971	-0.212071	0.8275	-0.277672	2.0444	-0.175024	1.1167	-0.390825
0.7734	-0.178772	1.7963	-0.154238	1.2175	-0.151109	0.9501	-0.203832	2.0015	-0.0766789	1.3087	-0.334656
0.866	-0.164318	1.8666	-0.14849	1.1332	-0.043327	1.0487	-0.193011	1.9013	-0.014559	1.3974	-0.240365
0.9149	-0.145828	1.8914	-0.127169	1.0365	-0.0271285	1.0872	-0.153953	1.877	-0.0894317	1.426	-0.183268
0.9188	-0.124442	1.8733	-0.105001	1.0083	-0.0952268	1.0692	-0.114572	1.8532	-0.088927	1.3531	-0.0746134
0.8872	-0.105999	1.916	-0.137728	0.9822	-0.097004	1.0127	-0.0858097	1.8016	-0.0587272	1.2837	-0.0713017
0.9429	-0.153377	1.9876	-0.155957	0.9293	-0.0684883	1.0443	-0.150104	1.7219	-0.0268144	1.2705	-0.126309
0.9862	-0.150328	2.0043	-0.129542	0.8276	-0.0154309	1.0466	-0.130756	1.619	0.00136873	1.2121	-0.07539
0.9857	-0.129389	1.9868	-0.111766	0.7166	-0.0012975	1.0135	-0.105334	1.5257	-0.00371884	1.1413	-0.0560241
0.9511	-0.11156	1.9289	-0.0888636	0.5995	0.010058	0.9202	-0.0594493	1.5642	-0.1376	1.0228	0.00342361
0.8712	-0.085786	1.834	-0.065802	0.712	-0.225879	0.8288	-0.0570381	1.7572	-0.301926	0.8479	0.0772288
0.7776	-0.0750336	1.8711	-0.133844	0.8997	-0.311364	0.7348	-0.0512529	1.964	-0.326262	0.7438	0.0167644
0.8844	-0.181458	2.0704	-0.225116	1.0518	-0.284421	0.8524	-0.206105	2.0559	-0.216163	0.8992	-0.258365
1.032	-0.21027	2.2034	-0.198836	1.1388	-0.224809	0.9918	-0.229327	2.1031	-0.174033	1.0747	-0.296123
1.1418	-0.198002	2.2863	-0.17816	1.153	-0.153872	1.0962	-0.211143	2.0794	-0.102156	1.2234	-0.284315
1.2007	-0.176698	2.3149	-0.152672	1.0998	-0.0849121	1.1475	-0.177686	1.972	-0.0132834	1.3125	-0.233757
1.2049	-0.150762	2.2902	-0.125016	0.9879	-0.021605	1.1423	-0.139018	1.8305	0.0277085	1.3329	-0.16723
1.14	-0.114107	2.2151	-0.0962821	0.8313	0.0300937	1.0829	-0.099191	1.66	0.0650675	1.2853	-0.0945984
1.0315	-0.0879139	2.095	-0.0679866	0.6465	0.0668872	0.948	-0.040544	1.4776	0.0859398	1.1779	-0.0241761
0.881	-0.0602699	1.9362	-0.0408903	0.4103	0.129687	0.7923	-0.0189913	1.309	0.0804389	1.024	0.0376114
0.6538	-0.0112137	1.7466	-0.0161849	0.2728	0.0375891	0.6103	0.0079084	1.3368	-0.117485	0.8028	0.126951
0.4346	-0.0046883	1.5553	-0.00592545	0.3975	-0.231243	0.3776	0.0546558	1.5217	-0.283982	0.6104	0.11733
0.3563	-0.0715796	1.5574	-0.102886	0.548	-0.265116	0.3682	-0.101552	1.679	-0.264415	0.6091	-0.0737008
0.4202	-0.146295	1.6221	-0.137583	0.682	-0.255998	0.464	-0.180446	1.7982	-0.232455	0.7607	-0.241837
0.4595	-0.136419	1.6793	-0.136861	0.7665	-0.21149	0.5535	-0.181065	1.8647	-0.183266	0.9222	-0.267979
0.4737	-0.125053	1.6977	-0.118551	0.7912	-0.153716	0.6218	-0.170262	1.8449	-0.0961607	1.0768	-0.276647
0.4478	-0.104156	1.6769	-0.0980788	0.7476	-0.0839837	0.6346	-0.132686	1.7656	-0.0328722	1.1473	-0.199711
0.3738	-0.0767796	1.6084	-0.0709646	0.6284	-0.0030521	0.593	-0.0931193	1.6109	0.0501017	1.1531	-0.135707
0.2767	-0.0606513	1.518	-0.0556464	0.4863	0.0264666	0.5133	-0.0629776	1.4783	0.0344839	1.0781	-0.0475146
0.152	-0.0407683	1.3771	-0.0234891	0.3858	-0.0104942	0.3718	-0.0130144	1.4302	-0.0477542	0.9596	0.00773944
0.0371	-0.0399604	1.318	-0.0615659	0.3334	-0.0563076	0.2406	-0.013905	1.3858	-0.0493727	0.7918	0.0737403
-0.009	-0.0720464	1.2842	-0.0726544	0.2762	-0.0489238	0.2011	-0.0763211	1.3269	-0.0320604	0.7293	-0.0253827
-0.0624	-0.065664	1.2295	-0.0595923	0.2191	-0.0463879	0.1412	-0.0591873	1.2681	-0.0293472	0.6746	-0.0277801
-0.1471	-0.0456319	1.1652	-0.0516938	0.1373	-0.0177352	0.0607	-0.040803	1.188	-0.00416104	0.6237	-0.0265525
-0.2558	-0.0279411	1.085	-0.0398423	0.1096	-0.0705598	-0.0418	-0.0202362	1.2481	-0.147491	0.5782	-0.0274603
-0.3502	-0.0300209	1.0313	-0.0505105	0.2353	-0.23048	-0.1173	-0.0352439	1.3734	-0.219093	0.5301	-0.0201033
-0.2497	-0.132246	1.1192	-0.125817	0.3389	-0.213899	-0.0015	-0.174942	1.4949	-0.221518	0.6187	-0.165725
-0.1874	-0.116074	1.2185	-0.136604	0.4169	-0.192616	0.1005	-0.170483	1.5501	-0.158133	0.7367	-0.206999
-0.1188	-0.122535	1.2884	-0.125528	0.4212	-0.119552	0.1561	-0.140939	1.5465	-0.0993073	0.9064	-0.27576
-0.0914	-0.103214	1.3144	-0.10501	0.3666	-0.0582887	0.1712	-0.113515	1.4689	-0.0215742	0.9664	-0.172156
-0.0976	-0.086006	1.3	-0.0842195	0.241	0.0187503	0.14	-0.0796852	1.3578	0.017345	0.9848	-0.132495
-0.1469	-0.0618441	1.2545	-0.06652	0.1012	0.0398391	0.0547	-0.0376049	1.1905	0.0817909	0.923	-0.0462069
-0.2179	-0.0472262	1.1624	-0.0387312	-0.0863	0.0970004	-0.0497	-0.0189652	1.0396	0.072832	0.7951	0.0326036
-0.3554	-0.0067458	1.059	-0.0280171	-0.2753	0.108226	-0.2038	0.0237336	0.8399	0.131533	0.6231	0.0938413
-0.475	-0.0092408	0.8856	0.0155643	-0.4173	0.068743	-0.3474	0.023911	0.7179	0.0598612	0.4681	0.0922944
-0.6042	0.0026234	0.7481	0.00441453	-0.5238	0.0390918	-0.552	0.077393	0.679	-0.0213617	0.2953	0.127345
-0.7425	0.0148309	0.627	0.00220683	-0.4571	-0.136986	-0.6528	0.0104258	0.7581	-0.143393	0.1513	0.11293
-0.7427	-0.0534664	0.6331	-0.0617615	-0.3697	-0.161686	-0.6365	-0.0717227	0.8555	-0.166648	0.1232	-0.00017254
-0.7281	-0.0608683	0.6493	-0.0676864	-0.2823	-0.165774	-0.595	-0.0908427	0.9611	-0.180224	0.2373	-0.153806
-0.7147	-0.0602236	0.6606	-0.0658675	-0.2172	-0.146512	-0.5611	-0.0866566	1.0192	-0.135731	0.3582	-0.172732
-0.7147	-0.0528089	0.6616	-0.0608336	-0.1833	-0.116824	-0.5323	-0.0839943	1.0402	-0.0997851	0.4957	-0.203132
-0.7276	-0.0449863	0.6454	-0.0514882	-0.184	-0.0820046	-0.5294	-0.0654799	1.0158	-0.0532667	0.5813	-0.15985
-0.7506	-0.0380357	0.6178	-0.04447	-0.2185	-0.0462611	-0.5416	-0.0537583	0.9453	-0.00373622	0.6326	-0.130743
-0.7918	-0.0260839	0.5778	-0.0363277	-0.2978	0.0028017	-0.5787	-0.0338946	0.8808	-0.0065993	0.6292	-0.075766
-0.8173	-0.0318416	0.5463	-0.0390574	-0.3231	-0.0496102	-0.6165	-0.0308981	0.8719	-0.0618415	0.573	-0.0174033
-0.7458	-0.0831708	0.6111	-0.0905085	-0.298	-0.100967	-0.5581	-0.1006	0.8969	-0.0970812	0.5176	-0.012715
-0.6612	-0.0932896	0.6674	-0.0891402	-0.2821	-0.0922801	-0.4909	-0.109629	0.9123	-0.0883424	0.5247	-0.0759775
-0.6047	-0.0814599	0.7077	-0.083226	-0.2926	-0.0650625	-0.4557	-0.0885334	0.911	-0.0716685	0.5338	-0.0789409
-0.5669	-0.073433	0.7298	-0.075304	-0.3354	-0.0302871	-0.4453	-0.0712481	0.89	-0.0510075	0.5229	-0.0579032
-0.5468	-0.0650412	0.7177	-0.0576707	-0.3799	-0.0259822	-0.4633	-0.0500048	0.8404	-0.0200116	0.493	-0.0359625
-0.5556	-0.0495956	0.6843	-0.0454192	-0.4629	0.0171307	-0.5026	-0.0326272	0.7814	-0.00773969	0.4457	-0.013877
-0.5829	-0.0383977	0.6199	-0.0267611	-0.5423	0.018043	-0.5593	-0.0170529	0.6967	0.0221256	0.372	0.0198558
-0.6367	-0.021821	0.5498	-0.0204611	-0.623	0.024001	-0.6297	-0.0033132	0.6048	0.0338602	0.3024	0.0226855
-0.6959	-0.0154651	0.469	-0.011118	-0.7148	0.0404058	-0.7254	0.0199072	0.5302	0.0202371	0.2186	0.0452437
-0.7788	0.0013087	0.3622	0.00718575	-0.7834	0.0214192	-0.8092	0.0165764	0.451	0.028752	0.1546	0.0318282
-0.8692	0.0104479	0.2685	0.0052939	-0.8403	0.0134045	-0.8904	0.0197068	0.3959	0.00736745	0.092	0.036679
-0.9458	0.0083237	0.1754	0.00963136	-0.8852	0.0045347	-0.9935	0.0411853	0.3523	-0.00198778	0.0542	0.0156536
-0.9723	-0.014429	0.1292	-0.0115216	-0.8916	-0.0327537	-1.0377	0.003203	0.3776	-0.0721905	0.0309	0.00348049
-0.9071	-0.0626319	0.1467	-0.0442612	-0.8134	-0.12045	-0.9998	-0.0551622	0.457	-0.130306	0.0563	-0.0477651
-0.8793	-0.0444426	0.1774	-0.052414	-0.7042	-0.156206	-0.929	-0.0808032	0.5395	-0.137585	0.1036	-0.0744055
-0.8382	-0.0523094	0.2066	-0.0531446	-0.6552	-0.0978009	-0.8563	-0.0849119	0.6162	-0.135682	0.237	-0.173869
-0.8039	-0.0498205	0.2303	-0.0516027	-0.5855	-0.1214	-0.7923	-0.0812296	0.6507	-0.0952719	0.3439	-0.158094
-0.7775	-0.046413	0.2462	-0.0485223	-0.5553	-0.0828551	-0.7335	-0.0797961	0.6537	-0.0639872	0.4278	-0.143526
-0.7578	-0.0432902	0.2531	-0.0443926	-0.553	-0.0545171	-0.7025	-0.0611836	0.6181	-0.0236691	0.4773	-0.114124
-0.7517	-0.0360435	0.2487	-0.0385475	-0.5854	-0.0176117	-0.6894	-0.0486192	0.5621	-0.00052527	0.4889	-0.077433
-0.7569	-0.0293766	0.2346	-0.0330159	-0.6472	0.0155255	-0.6979	-0.0323763	0.4737	0.0362474	0.4608	-0.0349691
-0.7742	-0.0216874	0.2059	-0.0243015	-0.699	0.0088145	-0.7278	-0.0151735	0.3741	0.05239	0.3883	0.0166421
-0.7959	-0.0176065	0.1737	-0.0209589	-0.7811	0.0440006	-0.7658	-0.0068377	0.2784	0.0532471	0.3041	0.0367317
-0.8224	-0.0130591	0.1277	-0.0117717	-0.8486	0.0336242	-0.8113	0.0014986	0.2108	0.028506	0.2106	0.0553606
-0.8585	-0.0055956	0.0848	-0.0111851	-0.9292	0.0516834	-0.8704	0.014844	0.1588	0.0154901	0.1004	0.0830706
-0.8903	-0.0052653	0.04	-0.00799913	-0.9642	0.0087976	-0.9284	0.0179024	0.1172	0.00715843	0.0187	0.0627387
-0.9216	-0.0030287	-0.0053	-0.0054836	-0.9931	0.0051357	-0.9709	0.0101483	0.0973	-0.0135563	-0.0446	0.0506732
-0.9566	0.0015279	-0.0587	0.00124227	-1.0087	-0.0063756	-1.0056	0.0074289	0.0887	-0.0244352	-0.0914	0.0388623
-0.9826	-0.0006895	-0.1011	-0.00212762	-1.0096	-0.020021	-1.0362	0.0071251	0.0903	-0.0347242	-0.1065	0.00868297
-1.0043	-0.0007502	-0.1474	0.00215212	-1.0002	-0.0297908	-1.053	-0.0006419	0.0962	-0.0393288	-0.0972	-0.0166373
-1.0103	-0.0072899	-0.1805	-0.00277483	-0.9873	-0.0329485	-1.0619	-0.004665	0.1366	-0.0758625	-0.0712	-0.0359302
-1.0728	0.0251579	0.6244	-0.462082	-0.9582	-0.0496453	-1.0455	-0.0221495	0.639	-0.563046	-0.0262	-0.0594276
-0.7961	-0.157481	0.2414	0.150994	-0.9318	-0.0473335	-1.0475	-0.008122	0.4268	0.162121	0.0418	-0.0892317
-0.5967	-0.128204	0.0891	0.0432497	-0.6184	-0.349385	-0.7778	-0.211019	0.4856	-0.111868	0.6633	-0.704948
-0.4214	-0.124498	0.1242	-0.0522177	-0.4361	-0.226964	-0.5044	-0.226775	0.545	-0.115492	0.4055	0.200091
-0.243	-0.134725	0.1883	-0.0699416	-0.3101	-0.176654	-0.3479	-0.152422	0.591	-0.104451	0.4295	-0.0841516
-0.1255	-0.110024	0.2342	-0.06316	-0.2395	-0.124544	-0.2405	-0.123181	0.5956	-0.0633408	0.4845	-0.1207
